C1.1,C1.2,C1.3,C1.4,C2.1,C2.2,C2.3,C2.4,C2.5,C3.1,C3.2,C3.3,C3.4,C4.1,C4.2,C4.3,C4.4,C4.5,C5.1,C5.2,C5.3,C5.4,C6.1,C6.2,C6.3,C6.4,C6.5
2,4,4,5,3,3,4,4,3,4,4,4,3,4,5,4,5,5,4,4,3,4,4,3,3,4,2
6,4,4,5,5,4,5,4,4,2,3,4,4,4,6,5,6,5,4,5,6,5,4,4,4,4,3
6,4,4,4,5,5,6,5,5,7,6,5,6,5,6,4,6,6,7,7,7,6,6,6,5,5,5
5,4,5,5,4,4,4,3,4,2,4,2,3,5,4,3,5,4,2,3,3,3,3,3,4,2,3
2,3,2,3,3,3,4,3,3,4,5,4,4,3,3,2,4,3,3,4,5,3,4,4,6,4,4
5,5,6,7,6,4,7,3,4,4,5,4,5,5,4,6,6,5,5,3,3,5,2,3,4,3,4
6,6,6,5,3,3,4,4,4,4,4,4,4,5,4,4,5,4,3,4,3,3,4,5,4,4,5
3,3,4,4,5,3,4,4,5,5,6,4,5,5,5,5,6,5,4,3,4,4,3,3,2,4,3
4,4,5,5,4,3,3,3,3,3,4,3,3,4,3,4,5,4,3,4,4,3,5,5,4,4,4
2,2,4,5,3,4,5,5,4,4,4,3,4,4,3,4,5,4,4,4,5,4,4,5,4,4,4
7,5,6,6,5,6,5,5,6,4,4,3,4,6,4,4,5,4,4,3,4,3,4,3,3,3,3
5,5,5,6,3,3,4,6,4,4,5,4,5,4,4,4,4,3,6,5,4,4,3,3,3,3,4
4,3,5,4,4,4,4,5,4,3,4,5,3,4,4,4,4,5,3,3,4,5,4,3,4,5,3
2,2,3,3,4,3,3,3,3,4,5,3,4,4,4,3,5,5,4,3,4,3,3,3,4,3,3
4,3,4,6,3,3,4,3,4,3,3,2,2,5,5,4,5,5,3,4,3,4,3,2,3,2,3
2,2,3,2,3,3,4,4,3,3,3,2,1,3,3,3,5,4,2,2,5,2,3,2,2,2,4
5,3,5,5,5,4,6,5,4,5,6,4,5,2,3,3,5,3,4,5,5,4,4,4,4,3,4
5,3,5,4,5,5,5,5,6,5,5,5,5,3,4,5,5,5,6,5,6,6,5,4,4,3,5
4,4,4,5,5,5,4,5,5,5,5,6,6,3,4,2,4,3,3,5,4,2,5,5,6,5,6
5,3,5,5,3,3,4,3,4,3,4,5,3,5,5,4,6,6,4,4,6,4,5,3,4,4,5
3,2,3,4,4,4,6,5,5,3,4,4,3,3,4,3,5,3,4,4,6,4,3,3,4,3,3
5,4,4,4,3,4,4,4,4,5,5,5,5,4,3,3,5,3,5,4,5,5,3,3,5,4,4
5,4,5,5,5,6,5,7,6,3,5,3,3,6,7,5,6,5,5,6,6,7,5,4,5,4,5
4,5,5,5,4,4,4,5,4,5,4,4,3,4,4,5,5,4,1,3,3,2,4,4,4,5,4
6,3,6,4,5,5,5,6,5,5,5,4,4,5,5,4,5,6,5,4,4,4,4,3,4,3,3
4,3,4,4,6,6,7,5,4,5,5,5,6,5,5,6,5,4,4,5,6,6,3,5,4,5,6
5,4,4,5,5,5,4,3,5,2,4,3,3,3,5,3,4,3,4,3,4,5,3,4,3,4,3
2,3,4,3,3,2,3,3,2,3,3,3,3,5,3,3,4,3,4,3,5,4,4,3,4,4,4
2,2,6,4,3,3,3,3,3,5,5,5,6,2,1,2,2,2,4,4,6,4,4,4,5,4,5
3,3,5,4,3,2,4,5,5,4,4,5,5,4,3,2,4,3,3,3,4,4,3,4,2,3,5
3,3,3,4,2,3,3,3,3,3,5,4,3,4,2,3,4,4,3,2,3,3,1,3,2,2,3
4,5,4,5,5,4,4,5,3,3,4,3,3,4,6,5,4,3,3,3,2,2,4,2,2,3,2
5,4,3,5,4,3,4,4,4,4,5,5,5,5,3,4,6,5,5,4,5,5,3,2,3,2,4
6,5,5,6,5,4,4,5,4,4,4,5,5,5,4,4,4,5,4,3,4,3,4,4,3,4,4
5,5,3,5,6,4,6,5,4,5,5,5,5,3,5,4,5,5,5,4,4,5,5,4,5,5,6
4,4,5,6,4,6,7,4,6,4,4,4,4,4,4,5,5,5,3,4,4,4,5,4,4,3,4
5,4,4,6,3,4,4,4,4,4,4,4,6,6,5,5,5,5,5,4,5,4,4,5,5,5,5
3,2,4,4,4,3,4,4,4,4,5,5,4,4,4,4,5,6,3,4,3,4,3,4,4,4,4
5,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,6,5,5,5,6,5,5,5,5,4,5
4,3,5,4,5,4,4,5,5,4,4,4,2,3,4,5,5,5,3,3,5,5,3,4,3,4,4
4,4,3,3,4,3,4,5,4,4,4,4,4,2,2,3,4,3,3,4,4,4,4,3,4,3,5
5,6,6,6,5,3,5,4,6,4,3,3,3,5,5,6,6,7,3,3,3,3,3,4,3,3,5
5,4,4,4,4,5,4,4,4,5,5,5,6,4,3,4,4,5,3,5,5,4,6,4,5,5,6
5,4,4,5,3,4,4,4,3,5,4,3,3,4,5,5,5,5,4,4,4,4,4,3,3,4,4
4,4,4,5,4,3,5,5,5,2,3,2,3,5,3,3,4,4,3,3,4,4,3,3,3,3,3
6,5,7,6,5,5,5,4,4,5,4,5,5,4,6,6,5,4,3,4,5,4,4,5,3,4,4
4,3,3,4,3,3,5,6,3,3,4,4,4,4,6,3,6,6,5,4,5,4,3,6,4,4,5
5,4,4,5,3,4,4,3,1,4,5,4,3,3,3,2,5,4,3,3,3,5,3,3,2,3,3
3,3,6,4,5,5,4,4,4,4,5,4,5,3,3,2,3,3,4,4,4,4,4,4,4,6,4
4,4,2,5,4,4,5,4,5,4,5,3,5,6,5,4,5,4,4,4,5,4,3,3,4,4,4
5,3,3,5,3,4,5,4,4,4,5,4,4,4,3,2,3,4,3,3,4,5,3,4,3,3,5
3,5,5,6,5,5,5,4,4,4,4,4,5,5,6,4,6,6,5,5,5,5,5,4,5,6,5
5,5,5,6,3,4,5,6,5,5,4,5,4,4,5,5,5,5,4,4,5,3,4,3,4,2,3
4,4,6,5,7,7,5,6,6,5,5,4,6,5,4,3,4,4,5,5,6,5,5,5,5,5,6
6,5,5,4,6,6,4,5,5,3,4,4,4,4,5,5,5,5,3,4,5,4,5,4,3,4,4
4,4,5,6,6,5,6,6,7,5,5,4,4,2,2,3,5,3,4,3,5,3,3,4,4,2,3
3,3,3,3,4,3,3,4,3,1,3,2,2,3,4,3,5,4,3,2,2,3,4,4,2,3,4
4,2,3,4,4,3,4,4,4,2,2,2,1,2,3,3,3,3,3,2,2,1,4,4,2,3,4
5,5,5,5,4,5,5,5,5,5,5,4,5,2,3,3,4,4,2,4,4,3,4,4,4,4,4
2,3,4,5,4,3,4,2,4,4,4,3,4,5,3,4,5,5,2,3,3,4,3,4,4,3,4
7,5,6,6,4,4,6,4,4,5,5,4,5,5,4,3,4,5,4,4,4,3,5,4,4,4,4
3,2,3,4,3,4,3,3,2,4,3,4,3,3,2,2,4,4,3,3,3,3,2,3,2,3,3
4,4,4,3,4,4,4,5,5,4,4,3,4,4,3,3,6,5,4,4,4,2,5,3,3,4,4
5,5,6,6,5,4,5,4,4,3,4,3,3,4,3,4,5,5,4,4,4,3,3,3,3,3,3
4,3,4,4,3,2,4,3,4,3,3,3,3,4,4,5,6,6,1,3,4,3,4,2,2,3,4
2,2,5,3,2,4,4,4,4,4,5,4,5,5,4,3,5,4,2,3,4,4,3,4,3,3,4
4,2,4,3,4,4,4,5,4,2,4,4,2,5,4,4,4,3,3,1,2,1,3,3,2,3,4
5,4,5,5,3,3,4,5,4,3,3,4,4,4,4,4,5,3,4,4,4,2,5,4,4,5,4
4,4,6,6,4,3,3,3,3,4,4,4,3,4,6,5,5,6,3,4,5,5,3,3,3,4,3
5,4,4,6,4,3,4,3,4,3,3,4,2,3,4,3,4,2,2,2,3,2,3,3,3,1,4
3,2,3,2,3,5,4,3,4,4,4,4,5,3,4,3,4,3,4,4,4,3,5,4,4,4,5
4,4,4,5,4,4,4,3,3,4,5,3,4,5,4,4,5,5,1,2,4,3,4,5,3,3,3
4,3,5,4,5,4,5,5,5,5,5,3,5,4,6,4,4,5,4,4,5,5,3,3,3,3,4
4,3,5,5,3,4,4,3,5,3,3,3,4,3,4,3,4,4,3,3,3,3,3,3,4,3,4
5,5,5,5,5,4,6,6,6,5,4,4,4,4,3,3,4,5,6,4,5,5,4,4,3,4,4
6,5,6,7,6,6,6,6,6,5,6,6,5,5,6,6,6,5,6,6,6,5,5,5,4,5,5
5,4,5,6,4,4,4,4,4,5,5,5,4,5,3,4,5,5,4,4,4,4,3,3,4,3,3
3,2,3,4,4,4,5,5,5,4,4,5,4,4,3,3,4,4,2,3,4,4,3,3,2,4,4
6,6,7,6,5,4,5,4,4,4,4,5,4,1,4,3,5,4,3,3,5,3,4,4,4,5,5
5,5,6,6,4,5,6,5,6,5,5,5,5,3,4,3,4,3,5,5,6,4,5,5,3,5,5
6,5,6,6,6,5,7,6,7,7,7,6,6,6,5,5,5,5,6,5,6,5,6,4,5,3,5
5,4,4,5,3,4,5,5,5,7,6,6,7,4,3,3,4,4,5,4,6,5,4,4,4,4,4
3,2,2,2,2,2,1,1,3,2,3,2,2,3,3,4,4,3,3,4,4,4,3,3,2,2,3
4,3,3,5,4,3,4,4,4,5,5,4,4,3,2,2,5,4,3,3,4,4,4,3,2,3,4
6,6,5,6,5,5,6,6,4,4,5,5,4,4,5,6,5,6,4,4,4,6,4,4,5,3,5
4,4,4,5,5,3,4,4,4,5,6,6,6,5,3,3,4,4,4,4,5,4,5,4,4,4,4
3,3,3,4,3,3,4,4,3,3,4,4,3,4,5,3,6,5,2,4,5,4,5,3,4,5,4
5,5,4,5,3,4,4,3,3,4,5,4,5,4,4,4,4,4,4,4,5,5,2,3,2,4,3
5,5,5,4,5,4,6,5,5,4,6,5,4,4,4,4,5,4,6,5,6,5,4,4,3,4,3
6,5,6,6,4,3,5,4,4,4,4,5,3,7,7,5,5,6,3,4,4,4,4,4,5,3,4
3,2,2,3,5,3,4,4,4,5,4,4,4,4,5,4,6,6,4,4,5,5,5,4,5,4,4
4,3,3,3,4,3,4,4,3,4,4,3,3,5,2,5,4,5,6,4,4,5,5,5,4,4,4
3,4,4,4,5,5,5,4,5,5,5,5,5,4,3,4,6,3,5,4,4,5,5,5,5,4,4
4,4,6,5,4,4,4,4,5,3,4,4,4,6,5,6,6,5,4,3,4,4,4,5,4,4,4
1,2,4,3,2,3,3,2,3,4,4,3,3,4,2,4,3,4,2,4,4,4,3,2,3,4,3
3,3,4,4,2,3,3,3,3,5,5,5,4,3,3,3,3,3,3,5,5,4,3,4,3,4,3
3,4,3,4,3,3,3,4,3,1,3,3,4,4,2,4,4,4,3,4,4,3,3,4,1,3,4
6,5,7,6,6,6,7,6,7,4,5,4,4,5,4,4,5,4,5,5,5,5,4,4,5,5,5
5,4,6,5,5,4,5,4,4,4,4,4,3,4,6,5,5,7,4,5,6,5,5,5,5,5,5
4,3,2,4,4,5,5,6,4,4,4,4,4,5,3,5,5,4,5,5,5,5,3,5,3,4,4
5,4,4,4,2,3,4,4,3,5,5,5,4,4,4,4,5,5,5,4,5,6,4,6,6,5,4
5,5,5,5,5,5,5,3,4,4,5,5,4,5,5,3,5,5,2,2,3,4,3,2,3,5,4
4,3,4,4,3,3,4,3,2,3,4,3,5,6,3,4,5,6,3,2,3,4,5,4,4,3,3
5,5,6,5,5,5,5,4,6,4,5,6,5,4,5,5,4,5,5,4,5,4,4,5,5,6,6
4,4,5,5,4,5,4,5,5,3,4,3,4,3,1,3,3,3,3,3,4,4,4,4,3,4,5
4,3,3,5,3,3,3,4,4,4,4,4,4,5,4,5,5,5,2,4,4,3,4,5,5,4,3
4,4,6,5,6,4,7,5,6,5,6,4,5,5,5,4,5,6,5,5,6,5,6,4,5,6,5
6,4,5,5,3,5,4,4,5,3,4,4,5,5,5,4,4,5,3,3,5,4,5,3,5,4,5
3,3,4,4,4,4,5,4,3,4,5,5,4,5,4,4,6,5,3,3,4,4,4,3,2,3,3
4,4,3,4,4,4,4,4,4,5,5,5,5,4,5,3,6,4,5,5,4,4,3,4,4,4,6
6,5,6,6,4,4,5,5,6,5,5,5,6,3,3,3,3,4,5,5,5,6,6,4,5,5,5
3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,3,3,3,3,2,4,3,4,4
5,4,5,5,5,5,5,5,5,5,5,5,4,5,6,6,6,6,4,4,5,5,3,3,4,3,4
5,3,5,5,3,4,4,5,4,4,4,4,5,4,3,3,4,4,3,4,5,5,6,5,5,4,4
6,5,5,7,4,4,5,5,4,5,5,4,4,5,5,5,4,5,6,6,6,6,6,6,6,5,5
4,4,4,4,5,5,6,4,6,3,2,2,2,4,3,3,4,3,3,3,3,2,3,2,1,3,4
4,3,4,5,3,3,3,5,5,3,3,3,3,4,5,2,4,3,5,3,5,4,3,4,3,4,5
4,4,4,6,4,4,4,4,3,5,4,6,6,4,5,4,4,4,4,4,5,4,4,3,5,4,3
3,4,2,3,3,2,3,3,2,4,4,5,2,4,4,4,5,4,3,3,5,2,3,2,3,3,3
4,3,4,5,4,4,3,4,4,4,3,3,2,4,2,3,3,3,1,1,1,3,2,3,3,2,4
3,4,4,5,3,3,5,4,4,4,5,4,6,3,5,3,4,5,4,4,4,4,6,6,5,6,6
5,3,5,4,4,4,5,7,6,3,4,3,4,3,5,5,5,5,4,4,4,4,3,3,3,2,3
5,3,4,5,3,2,3,2,3,4,4,3,3,3,3,3,3,3,3,3,4,3,3,2,1,3,3
4,5,5,4,4,5,5,5,4,5,5,5,5,6,5,5,7,5,6,5,6,6,4,5,6,4,4
4,3,4,4,3,3,5,4,4,3,4,4,4,3,2,3,4,3,4,4,4,4,4,2,2,4,4
4,4,4,3,4,5,5,4,3,4,4,3,3,4,5,5,5,5,4,3,4,5,2,4,3,4,4
5,4,5,6,5,4,5,6,5,4,5,3,4,4,3,3,5,4,4,3,4,3,3,4,3,4,4
4,5,5,6,5,5,5,3,4,5,5,6,5,2,4,4,4,3,4,4,4,5,3,4,4,3,6
4,3,4,4,3,3,3,3,4,4,4,4,5,3,3,3,4,4,4,4,4,5,6,6,5,6,6
5,5,4,5,4,5,5,6,5,3,3,4,4,4,5,4,6,5,6,5,5,6,5,4,5,4,5
5,3,4,5,5,3,4,4,3,4,4,5,4,3,4,3,4,4,6,6,5,7,5,6,5,4,4
3,5,4,5,3,4,5,5,3,3,5,4,3,3,4,4,5,5,4,5,4,5,4,4,4,5,5
2,3,2,4,2,4,5,4,3,4,5,4,4,4,4,3,5,4,3,4,3,4,4,4,4,5,5
4,4,3,4,5,5,5,4,5,4,3,4,4,4,3,3,4,3,2,3,3,2,3,2,2,2,3
5,4,5,4,2,3,4,3,2,3,3,1,3,3,5,5,4,4,3,2,3,3,4,4,3,4,4
4,4,5,5,4,4,4,3,3,2,3,3,4,6,4,4,5,4,4,4,3,5,3,4,3,3,4
5,5,5,5,4,3,4,4,4,4,4,4,3,3,5,4,6,5,3,4,4,4,4,3,2,6,4
4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,3,5,4,2,3,4,3,3,3,2,3,4
3,4,4,5,3,4,4,4,3,4,4,4,3,5,4,5,4,3,5,5,5,4,3,3,3,2,4
3,4,5,4,6,4,3,5,4,3,5,3,4,4,3,4,3,3,4,3,3,4,6,3,5,5,5
5,4,5,6,4,4,4,4,4,4,6,4,3,6,5,6,6,5,4,3,4,4,3,4,4,3,4
4,3,4,4,3,3,3,3,4,3,4,3,3,4,4,5,4,5,3,3,4,2,3,2,3,3,3
5,4,5,4,5,4,5,4,4,4,5,4,4,4,5,5,5,4,5,4,4,5,3,3,3,4,4
3,2,3,3,3,2,2,3,3,3,3,4,3,2,2,3,3,3,2,3,4,4,1,2,2,2,4
6,4,4,5,3,4,5,3,4,6,5,5,5,5,4,3,5,4,5,5,4,5,5,4,4,5,4
4,3,3,6,4,4,5,4,4,6,5,5,6,4,4,2,4,4,4,4,4,4,3,5,3,3,4
2,4,3,3,4,2,4,3,4,3,4,4,3,4,4,3,6,4,4,3,3,2,4,4,5,4,5
3,4,5,5,4,4,4,5,5,4,4,4,3,3,2,2,4,3,3,3,3,4,4,4,4,4,4
2,4,3,4,5,4,6,5,5,4,4,4,4,5,5,4,5,6,3,4,3,4,5,4,2,3,4
4,2,4,3,3,4,5,4,3,4,5,5,5,5,5,4,6,6,6,5,7,6,5,4,5,6,4
6,7,6,5,4,4,6,5,5,4,3,4,4,6,5,4,5,5,5,6,7,5,5,4,3,5,3
2,2,4,4,3,3,4,5,3,4,4,4,2,4,3,4,4,5,3,3,5,5,5,5,4,4,4
5,4,5,5,5,5,4,5,5,3,3,2,2,4,5,3,4,6,2,3,4,4,5,4,5,5,6
5,4,4,5,4,4,4,5,5,4,5,3,3,4,4,4,4,5,4,4,5,3,5,5,5,3,4
3,4,4,5,3,3,4,2,3,3,3,3,4,3,4,3,5,4,4,4,4,3,3,3,3,2,4
4,3,3,4,3,2,3,3,3,2,4,3,2,5,6,3,4,5,3,4,5,4,4,3,3,3,4
2,3,4,2,2,2,4,3,3,5,5,4,4,3,5,5,6,5,4,5,5,5,6,5,4,4,6
5,3,4,5,6,5,7,6,6,5,5,5,5,4,3,3,4,5,5,6,6,7,5,5,6,6,6
2,2,3,1,4,4,4,4,5,3,3,4,4,2,1,3,3,3,4,3,4,3,2,4,2,3,4
4,3,5,4,3,4,4,4,5,4,3,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4
4,3,4,6,4,2,4,4,3,3,4,4,5,4,5,5,6,5,3,3,4,3,4,4,4,5,6
4,3,4,5,4,3,4,4,3,4,5,5,4,3,3,3,4,3,3,4,5,3,4,3,3,3,4
3,2,3,3,3,5,4,4,3,4,5,5,4,4,3,4,4,5,3,2,4,3,4,5,4,4,4
4,3,4,4,4,3,5,3,3,3,3,2,3,5,3,1,4,3,2,2,4,2,3,2,2,3,2
3,4,4,4,4,3,2,4,2,3,4,4,5,3,3,4,4,4,3,4,5,2,3,3,2,3,2
3,4,3,4,3,4,4,4,5,4,4,4,5,5,6,5,4,5,4,4,4,4,6,5,5,4,5
2,4,2,4,2,3,3,3,2,2,3,4,3,4,2,4,3,3,3,3,4,3,2,2,3,3,3
3,2,4,4,5,5,4,3,5,3,4,5,3,5,4,3,4,4,4,4,4,3,3,3,2,3,4
5,4,5,5,4,3,4,4,4,3,3,3,4,4,4,4,5,5,3,4,3,4,3,4,3,3,5
5,4,6,5,4,3,5,3,4,4,5,5,3,2,4,4,4,3,5,4,4,5,4,4,3,3,5
4,3,3,3,3,4,5,4,3,3,3,3,3,4,4,5,4,3,2,4,4,3,5,4,4,5,5
6,4,4,5,5,4,5,4,5,4,4,4,4,4,4,3,5,4,3,4,4,3,4,4,3,4,4
2,2,2,4,4,3,3,2,3,5,4,5,6,4,3,4,5,4,3,4,4,5,6,6,6,6,5
5,3,4,5,4,4,4,4,5,3,4,3,3,6,5,6,4,6,2,3,4,4,4,4,4,4,4
6,5,6,5,5,3,6,4,5,4,4,5,5,3,3,4,4,4,4,3,5,3,4,5,4,4,5
3,3,5,4,3,3,3,3,4,4,4,3,4,4,4,3,5,4,3,5,4,4,3,4,3,3,4
5,3,4,4,3,2,4,3,4,3,4,4,4,5,5,5,5,5,4,5,6,4,3,3,4,4,5
4,4,5,5,3,3,4,2,3,4,3,4,4,3,5,5,4,5,5,4,5,5,5,3,4,4,3
5,6,5,5,5,5,5,4,6,5,5,3,5,4,3,4,4,4,5,5,6,4,3,4,3,5,4
4,4,5,4,5,4,5,4,4,4,4,6,4,3,4,2,6,4,2,3,3,4,3,4,4,4,3
3,4,3,4,3,2,3,2,3,3,4,2,4,3,4,3,4,4,4,3,3,5,2,3,2,2,4
3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,4,3,3,4,3,3,2,2,2,2
4,4,4,4,4,5,5,5,3,4,4,5,5,3,5,4,3,3,4,3,5,4,5,5,4,4,4
4,3,5,6,6,5,5,5,4,5,5,6,5,5,5,3,6,5,5,4,4,3,5,5,4,5,5
5,4,4,5,5,4,5,4,4,5,4,5,4,4,5,4,5,4,5,3,4,4,4,5,4,4,4
4,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,6,3,5,5,5,5,4,4,5,5
5,4,6,4,4,4,4,3,4,4,5,5,4,4,3,4,5,5,4,4,4,4,5,4,4,5,5
3,5,6,6,4,4,4,5,4,5,4,5,3,5,4,4,5,4,4,4,4,3,4,4,2,3,2
4,3,3,5,4,3,4,4,3,3,4,4,4,5,4,5,5,4,2,3,3,3,4,4,4,4,5
4,3,3,5,5,3,4,3,5,5,5,4,4,5,4,3,4,6,2,4,3,4,4,3,4,4,3
4,4,6,5,5,5,5,4,5,4,4,5,4,6,3,4,5,6,5,5,6,5,5,3,5,5,4
3,3,3,2,4,5,4,2,3,3,3,3,2,3,4,4,4,4,2,2,3,3,4,3,3,5,4
5,4,4,6,4,3,5,5,3,5,5,5,4,4,3,4,4,4,2,4,4,4,2,3,4,3,4
3,3,3,4,4,5,5,4,4,4,3,4,3,4,4,2,4,4,4,3,5,4,4,3,3,5,6
4,3,5,5,4,3,3,4,3,4,4,4,2,3,2,5,4,4,2,2,4,2,3,4,3,5,3
4,5,4,4,5,4,5,3,4,4,4,3,4,4,3,4,5,5,3,2,5,3,3,4,3,4,5
4,5,4,5,5,3,4,4,3,5,5,4,5,3,2,2,4,4,6,5,6,4,5,4,4,5,5
4,5,5,5,4,4,5,4,4,5,4,4,4,5,4,4,5,5,4,4,4,4,5,5,5,6,6
4,4,4,5,5,5,6,5,4,4,5,4,4,4,5,4,4,4,3,3,5,4,3,4,3,4,3
5,3,4,6,5,5,4,4,5,3,4,3,4,4,3,3,5,4,3,4,4,4,4,3,5,3,4
5,3,5,5,4,5,6,4,4,3,5,5,4,3,4,4,4,4,4,4,5,4,4,4,4,5,4
3,3,2,4,3,3,2,3,2,2,2,2,2,5,5,5,6,7,3,4,4,4,4,3,3,4,4
5,4,5,4,4,5,4,4,5,3,4,4,3,3,3,4,4,4,5,4,5,6,4,3,2,4,4
6,4,6,5,5,4,5,3,4,3,3,5,5,6,6,5,5,6,4,4,5,5,5,4,4,3,4
4,4,5,4,4,4,4,5,3,2,2,2,2,4,3,3,5,4,1,2,4,2,3,2,2,2,4
4,3,4,4,5,3,3,3,4,4,4,3,4,4,4,4,4,5,5,5,5,4,4,5,4,5,6
4,3,4,5,3,4,5,4,4,3,3,3,2,3,4,4,4,4,4,3,3,3,4,3,3,3,5
3,4,3,2,4,4,4,4,4,3,4,4,4,4,4,3,5,4,3,3,4,4,4,3,2,3,3
5,4,5,5,4,4,3,4,3,4,4,4,3,3,3,2,4,4,5,5,5,6,4,4,5,4,4
4,3,4,4,6,5,5,5,5,3,3,3,3,4,5,4,4,4,2,3,3,4,3,4,3,4,3
3,1,3,3,3,3,4,4,3,2,2,3,2,2,3,3,5,4,1,3,3,3,4,3,4,4,4
5,4,4,5,4,4,5,4,4,4,3,4,4,3,2,4,3,2,4,4,5,5,3,4,5,5,3
4,4,3,5,2,3,4,3,3,5,5,5,5,5,3,4,4,4,6,5,5,4,6,4,4,4,5
3,2,3,4,4,3,4,5,4,3,4,3,2,4,3,5,5,6,4,4,4,4,5,4,3,5,5
3,3,4,3,3,4,4,5,4,4,4,4,3,3,2,3,2,2,2,3,4,3,3,2,2,3,4
5,4,5,5,4,4,5,4,4,5,4,5,5,7,5,4,5,6,5,5,6,5,3,5,4,5,5
4,4,4,5,5,4,5,4,5,4,4,4,4,3,3,2,4,5,4,4,5,5,3,3,3,4,4
4,4,4,5,4,4,5,4,3,5,5,4,5,4,5,6,5,4,5,5,6,6,5,4,4,4,4
4,4,5,4,5,4,4,5,5,5,5,6,5,3,4,4,5,4,5,3,4,4,3,4,3,3,5
6,5,4,6,5,4,5,4,5,5,5,5,3,3,3,3,4,5,4,4,5,5,4,4,3,4,6
5,5,4,4,5,5,5,6,5,5,6,5,5,5,5,5,6,5,7,6,6,5,5,5,5,5,5
5,4,4,5,4,4,4,5,3,4,6,4,5,4,5,5,5,4,3,3,5,4,3,3,4,4,3
5,4,4,4,5,3,5,3,3,4,4,4,3,4,4,3,4,5,5,2,5,3,3,3,4,3,3
2,2,2,3,3,3,4,5,4,5,5,5,5,3,3,3,5,4,5,5,5,6,4,4,4,6,5
4,4,5,3,5,5,4,4,3,5,5,5,4,3,2,3,4,3,2,3,4,4,3,3,5,3,5
3,2,3,3,3,3,3,2,3,3,3,4,3,4,3,2,4,3,2,3,3,2,3,2,2,3,3
5,6,7,6,5,4,5,5,6,5,5,6,5,5,4,4,5,5,4,4,5,4,5,4,4,5,5
3,4,3,6,5,4,3,5,4,4,4,5,4,4,4,4,4,4,6,5,5,5,4,4,4,4,5
3,3,3,4,4,4,5,4,5,4,4,6,3,3,3,3,4,4,3,4,4,4,4,3,3,3,4
5,4,5,5,5,5,5,5,5,5,6,5,6,5,4,4,5,5,5,4,5,6,5,4,4,5,4
5,5,5,6,6,4,5,5,5,4,4,4,3,6,5,5,5,5,3,4,3,4,4,3,4,2,4
6,5,4,6,4,4,3,3,4,5,5,4,6,4,6,5,4,6,5,4,4,5,3,5,3,3,4
3,3,4,3,4,4,4,4,4,2,4,3,3,3,4,4,5,4,4,3,4,3,2,4,2,3,4
5,5,6,6,5,4,6,6,5,4,4,4,4,5,3,5,4,5,3,4,3,4,4,3,3,4,4
4,5,5,5,4,4,5,4,6,4,3,4,4,3,4,5,5,5,3,4,5,4,4,4,4,5,4
4,3,3,5,5,2,3,4,5,4,5,4,4,4,4,4,5,4,4,5,4,6,4,4,3,5,4
5,5,5,4,5,4,4,4,3,5,4,5,4,4,3,3,4,3,5,5,6,5,3,4,3,3,4
4,4,3,4,2,3,4,3,3,5,6,5,5,2,2,2,1,1,3,5,4,6,4,4,3,5,4
3,4,5,4,4,5,5,4,3,3,4,4,4,5,3,4,4,6,4,4,5,4,5,4,4,4,5
5,5,4,6,4,5,3,5,5,6,7,5,5,4,3,2,4,5,6,5,4,5,6,5,6,5,7
5,3,5,5,4,4,4,5,4,5,5,6,5,3,4,4,5,4,3,4,5,6,5,4,5,6,6
4,2,4,4,4,4,4,5,5,3,4,3,4,4,3,4,3,4,3,3,5,4,3,4,4,4,5
5,4,6,5,4,5,4,4,4,3,4,3,4,4,4,3,5,4,4,3,3,3,2,2,3,4,3
5,3,3,5,4,4,5,3,5,5,5,4,5,3,3,5,5,4,3,3,5,5,5,3,3,4,4
4,3,4,4,5,4,4,5,4,5,5,4,5,3,4,4,5,4,4,5,6,5,6,5,5,6,6
4,2,2,4,4,3,5,4,4,3,4,3,2,5,4,3,5,4,3,3,3,3,3,5,4,4,5
